batch_num,epoch,batch_acc
1,epoch_27680,1.000000
2,epoch_27680,0.968750
3,epoch_27680,1.000000
4,epoch_27680,1.000000
5,epoch_27680,1.000000
6,epoch_27680,0.968750
7,epoch_27680,1.000000
8,epoch_27680,1.000000
9,epoch_27680,1.000000
batch_num,epoch,batch_acc
1,epoch_27680,1.000000
2,epoch_27680,0.968750
3,epoch_27680,1.000000
4,epoch_27680,1.000000
5,epoch_27680,1.000000
6,epoch_27680,0.968750
7,epoch_27680,1.000000
8,epoch_27680,1.000000
9,epoch_27680,1.000000
10,epoch_27680,1.000000
11,epoch_27680,1.000000
12,epoch_27680,1.000000
13,epoch_27680,1.000000
14,epoch_27680,1.000000
