2018-01-30__07_29_17_AM
batch_num,epoch,batch_acc
1,epoch_22292,0.999519
2,epoch_22292,0.990385
3,epoch_22292,0.989724
4,epoch_22292,0.990445
5,epoch_22292,0.996274
6,epoch_22292,0.989483
7,epoch_22292,0.999880
8,epoch_22292,0.999880
9,epoch_22292,0.999820
10,epoch_22292,0.999099
11,epoch_22292,0.999219
12,epoch_22292,0.988101
13,epoch_22292,0.999940
14,epoch_22292,0.999279
15,epoch_22292,0.999639
16,epoch_22292,0.999820
17,epoch_22292,0.999820
18,epoch_22292,0.999639
19,epoch_22292,0.999820
20,epoch_22292,0.989243
21,epoch_22292,0.999639
22,epoch_22292,0.999760
23,epoch_22292,0.992188
24,epoch_22292,0.999459
25,epoch_22292,0.989904
26,epoch_22292,0.992308
27,epoch_22292,0.999880
28,epoch_22292,0.999700
29,epoch_22292,0.990385
30,epoch_22292,0.999820
31,epoch_22292,0.992368
32,epoch_22292,0.999880
33,epoch_22292,0.999459
34,epoch_22292,0.999279
35,epoch_22292,0.999459
36,epoch_22292,0.999399
37,epoch_22292,0.999700
38,epoch_22292,0.999519
39,epoch_22292,0.999579
40,epoch_22292,0.999820
41,epoch_22292,0.991887
42,epoch_22292,0.999579
43,epoch_22292,0.995974
44,epoch_22292,0.999459
45,epoch_22292,0.999579
46,epoch_22292,0.999760
47,epoch_22292,0.999339
48,epoch_22292,0.999399
49,epoch_22292,0.999760
50,epoch_22292,0.999519
51,epoch_22292,0.990264
52,epoch_22292,0.999579
53,epoch_22292,0.999399
54,epoch_22292,0.999820
55,epoch_22292,0.999760
56,epoch_22292,0.999459
57,epoch_22292,0.999579
58,epoch_22292,0.999399
59,epoch_22292,0.989363
60,epoch_22292,0.999820
2018-02-01__07_28_49_AM
batch_num,epoch,batch_acc
