2018-02-02__01_40_08_PM
batch_num,epoch,batch_acc
1,epoch_16032,0.999980
2,epoch_16032,0.999984
3,epoch_16032,0.999902
4,epoch_16032,1.000000
5,epoch_16032,0.999902
6,epoch_16032,0.999930
7,epoch_16032,0.999988
8,epoch_16032,0.999949
9,epoch_16032,0.999879
10,epoch_16032,0.985648
11,epoch_16032,0.999973
12,epoch_16032,0.999984
13,epoch_16032,0.999980
14,epoch_16032,0.999980
15,epoch_16032,0.999953
16,epoch_16032,0.988035
17,epoch_16032,0.999910
18,epoch_16032,0.999922
19,epoch_16032,0.999992
20,epoch_16032,0.999922
21,epoch_16032,0.999902
